,0,1,2,3,4
0,False,False,False,False,True
1,True,True,True,True,True
2,True,True,False,True,False
3,True,False,True,False,True
4,True,True,True,True,False
5,False,False,False,False,True
6,True,True,False,True,True
7,False,False,False,False,False
8,True,False,True,False,True
9,False,True,False,True,True
10,True,True,True,True,True
11,False,True,False,True,True
12,True,True,True,True,False
13,True,False,True,False,True
14,True,True,True,True,True
15,True,True,False,True,False
16,False,True,True,True,False
17,True,True,True,True,True
18,True,True,False,True,True
19,False,False,True,False,True
20,True,False,True,False,False
21,False,False,False,False,False
22,True,True,False,True,True
23,True,True,True,True,False
24,True,True,False,True,False
25,True,False,True,False,True
26,True,False,True,False,True
27,True,False,False,False,True
28,False,False,True,False,True
29,False,False,False,False,True
30,True,False,True,False,True
31,False,True,True,True,False
32,True,True,False,True,True
33,True,True,True,True,False
34,False,False,True,False,True
35,False,True,False,True,True
36,False,False,True,False,True
37,True,False,False,False,False
38,True,False,True,False,True
39,True,False,False,False,False
40,True,False,True,False,False
41,True,False,False,False,False
42,True,False,False,False,True
43,True,True,True,True,True
44,True,False,True,False,True
45,False,True,False,True,False
46,True,True,True,True,False
47,False,False,False,False,True
48,False,True,False,True,True
49,False,False,True,False,True
50,False,False,True,False,True
51,True,False,False,False,False
52,True,True,False,True,False
53,True,True,False,True,False
54,False,True,True,True,True
55,False,False,True,False,True
56,True,False,False,False,False
57,False,True,False,True,True
58,False,False,True,False,True
59,False,False,True,False,True
60,True,False,True,False,True
61,True,True,True,True,False
62,True,True,True,True,False
63,True,False,False,False,True
64,False,False,True,False,True
65,True,False,False,False,True
66,True,False,False,False,True
67,True,True,False,True,False
68,True,True,True,True,True
69,True,True,False,True,False
70,False,True,False,True,True
71,False,False,False,False,True
72,True,False,False,False,True
73,False,True,False,True,True
74,True,True,False,True,False
75,True,True,True,True,True
76,False,False,True,False,True
77,False,True,True,True,True
78,True,True,False,True,True
79,True,False,False,False,False
80,True,False,True,False,True
81,True,False,True,False,True
82,False,False,True,False,True
83,True,False,False,False,False
84,False,False,False,False,False
85,True,False,False,False,True
86,True,True,True,True,True
87,True,False,False,False,False
88,False,True,False,True,False
89,False,True,True,True,True
90,True,True,False,True,True
91,True,True,False,True,False
92,True,True,False,True,False
93,False,True,False,True,False
94,True,True,False,True,False
95,False,False,True,False,False
96,True,True,False,True,True
97,True,True,True,True,False
98,True,True,True,True,True
99,False,True,False,True,True
100,True,True,False,True,False
101,True,False,True,False,True
102,True,True,True,True,True
103,False,False,False,False,False
104,False,False,False,False,True
105,False,False,True,False,True
106,True,False,True,False,False
107,True,True,False,True,False
108,False,True,True,True,True
109,True,False,False,False,True
110,True,False,True,False,True
111,True,False,True,False,True
112,True,True,False,True,False
113,False,False,True,False,True
114,False,True,False,True,True
115,True,True,False,True,False
116,False,False,True,False,True
117,True,True,False,True,True
118,False,False,False,False,True
119,True,False,True,False,True
120,False,False,True,False,True
121,True,True,True,True,True
122,False,False,True,False,True
123,True,True,False,True,False
124,False,False,False,False,True
125,True,True,False,True,False
126,False,True,True,True,False
127,False,False,False,False,False
128,True,True,True,True,False
129,True,True,False,True,False
130,True,True,True,True,False
131,False,False,True,False,True
132,True,True,True,True,True
133,True,True,False,True,False
134,True,False,True,False,False
135,True,True,True,True,False
136,False,False,True,False,True
137,True,True,False,True,True
138,True,True,False,True,False
139,True,False,True,False,True
140,False,False,False,False,False
141,False,True,True,True,True
142,True,False,False,False,False
143,False,True,True,True,True
144,False,True,False,True,False
145,False,False,False,False,True
146,True,False,False,False,False
147,True,True,True,True,False
148,True,True,True,True,True
149,False,False,True,False,True
150,False,True,True,True,False
151,True,False,False,False,True
152,True,True,True,True,False
153,True,False,True,False,True
154,False,False,False,False,True
155,False,False,True,False,False
156,True,True,True,True,True
157,True,True,True,True,True
158,False,True,False,True,True
159,False,False,True,False,False
160,True,False,True,False,False
161,False,False,True,False,True
162,False,False,True,False,True
163,False,True,True,True,True
164,False,False,True,False,True
165,False,False,False,False,True
166,False,False,False,False,True
167,True,True,False,True,False
168,False,False,True,False,True
169,True,False,True,False,True
170,True,False,True,False,True
171,True,True,False,True,False
172,True,False,True,False,False
173,True,True,True,True,False
174,False,True,False,True,True
175,True,False,True,False,True
176,True,False,True,False,True
177,True,False,True,False,True
178,True,True,True,True,True
179,False,True,True,True,True
180,True,True,False,True,False
181,True,False,False,False,False
182,True,True,False,True,True
183,True,False,True,False,True
184,True,False,False,False,False
185,True,True,False,True,False
186,True,False,False,False,True
187,True,True,True,True,True
188,True,True,False,True,False
189,False,False,True,False,True
190,False,False,False,False,False
191,False,False,True,False,True
192,True,False,False,False,True
193,True,False,True,False,True
194,True,True,True,True,False
195,False,False,True,False,True
196,False,False,False,False,False
197,True,True,False,True,False
198,True,True,False,True,False
199,False,False,False,False,True
200,False,True,False,True,True
201,True,False,True,False,True
202,False,False,True,False,True
203,False,False,True,False,True
204,True,False,False,False,True
205,True,False,True,False,True
206,False,False,True,False,True
207,False,True,True,True,True
208,False,False,False,False,False
209,False,True,False,True,False
210,True,True,False,True,False
211,True,False,True,False,True
212,False,True,False,True,True
213,True,True,True,True,True
214,True,True,True,True,False
215,True,False,False,False,False
216,False,True,False,True,True
217,True,True,False,True,False
218,True,True,False,True,True
219,True,True,True,True,False
220,True,False,True,False,True
221,True,True,False,True,True
222,True,True,False,True,False
223,False,False,False,False,True
224,True,False,False,False,True
225,True,False,False,False,False
226,True,False,False,False,False
227,True,False,False,False,False
228,False,False,False,False,True
229,True,True,False,True,True
230,False,False,False,False,True
231,False,True,False,True,True
232,True,False,True,False,True
233,True,True,False,True,False
234,False,False,False,False,False
235,True,True,False,True,False
236,True,False,True,False,False
237,False,False,True,False,True
238,True,True,False,True,False
239,False,True,True,True,True
240,False,True,True,True,True
241,True,True,False,True,False
242,True,False,True,False,True
243,False,True,False,True,True
244,True,False,False,False,True
245,True,True,False,True,True
246,True,True,False,True,False
247,True,False,False,False,True
248,True,True,True,True,False
249,False,False,True,False,False
